entity_type,entity_id,data
assignments,1,"{""assignment_id"":1,""course_id"":1,""title"":""ER Model Design"",""description"":""Design an ER diagram for a university information system."",""due_date"":""2026-03-05T23:59:00"",""max_score"":100,""created_at"":""2026-02-15T09:00:00""}"
assignments,2,"{""assignment_id"":2,""course_id"":1,""title"":""SQL Queries Practice"",""description"":""Write SELECT, JOIN, GROUP BY and subquery examples."",""due_date"":""2026-03-20T23:59:00"",""max_score"":100,""created_at"":""2026-02-20T09:00:00""}"
assignments,3,"{""assignment_id"":3,""course_id"":2,""title"":""Collections API Lab"",""description"":""Implement custom processing using List, Set and Map."",""due_date"":""2026-03-10T23:59:00"",""max_score"":100,""created_at"":""2026-02-18T10:00:00""}"
assignments,4,"{""assignment_id"":4,""course_id"":2,""title"":""Spring REST Service"",""description"":""Create a CRUD REST API with validation and DTO mapping."",""due_date"":""2026-04-01T23:59:00"",""max_score"":120,""created_at"":""2026-03-01T10:30:00""}"
assignments,5,"{""assignment_id"":5,""course_id"":3,""title"":""JUnit Basics"",""description"":""Cover service methods with unit tests using JUnit and Mockito."",""due_date"":""2025-10-01T23:59:00"",""max_score"":80,""created_at"":""2025-09-10T08:00:00""}"
assignments,6,"{""assignment_id"":6,""course_id"":3,""title"":""Integration Testing"",""description"":""Test repository and API layers using integration tests."",""due_date"":""2025-11-05T23:59:00"",""max_score"":100,""created_at"":""2025-10-05T08:00:00""}"
courses,1,"{""course_id"":1,""title"":""Database Systems"",""description"":""Introduction to relational databases, SQL, indexes and transactions."",""teacher_id"":1,""start_date"":""2026-02-01"",""end_date"":""2026-06-15"",""status"":""active"",""created_at"":""2026-01-20T10:00:00""}"
courses,2,"{""course_id"":2,""title"":""Java Programming"",""description"":""Object-oriented programming in Java with Spring basics."",""teacher_id"":2,""start_date"":""2026-02-10"",""end_date"":""2026-06-20"",""status"":""active"",""created_at"":""2026-01-22T11:00:00""}"
courses,3,"{""course_id"":3,""title"":""Software Testing"",""description"":""Testing strategies, unit tests, integration tests and QA process."",""teacher_id"":2,""start_date"":""2025-09-01"",""end_date"":""2025-12-20"",""status"":""completed"",""created_at"":""2025-08-15T12:00:00""}"
courses,4,"{""course_id"":4,""title"":""Algorithms and Data Structures"",""description"":""Core algorithms, asymptotic complexity and practical problem solving."",""teacher_id"":1,""start_date"":""2026-09-01"",""end_date"":""2026-12-20"",""status"":""planned"",""created_at"":""2026-03-01T09:00:00""}"
